path,mapped,chunks,combinedLen,maxNchars,modified,headings
"Study/错题本/01_Compile_Link/1.9.4 宏定义嵌套陷阱.md","10_学习/错题本/01_Compile_Link/1.9.4 宏定义嵌套陷阱.md","1","453","686","2026/01/24 09:06:30","[1.9.4] 宏定义嵌套陷阱 (Nested Swallow)"
"Study/错题本/01_Compile_Link/1.9.5 宏参数多次求值风险.md","10_学习/错题本/01_Compile_Link/1.9.5 宏参数多次求值风险.md","1","893","1115","2026/01/24 09:06:30","[1.9.5] 宏参数多次求值风险"
"Study/错题本/01_Compile_Link/题目 - Q5 结构体定义语法辨析.md","10_学习/错题本/01_Compile_Link/题目 - Q5 结构体定义语法辨析.md","1","568","793","2026/01/24 09:06:30","【题目】Q7 结构体定义语法辨析"
"Study/错题本/01_Compile_Link/题目 - Q6 指针定义语法的视力测试.md","10_学习/错题本/01_Compile_Link/题目 - Q6 指针定义语法的视力测试.md","1","406","637","2026/01/24 09:06:30","【题目】Q8 指针定义语法的视力测试"
"Study/错题本/02_Memory_Address/2.1 二维数组传参的地址错位.md","10_学习/错题本/02_Memory_Address/2.1 二维数组传参的地址错位.md","1","210","434","2026/01/24 09:06:30","[2.1] 二维数组传参的地址错位"
"Study/错题本/02_Memory_Address/2.3 指针自增运算优先级 (－p++).md","10_学习/错题本/02_Memory_Address/2.3 指针自增运算优先级 (－p++).md","1","164","403","2026/01/24 09:06:30","[2.3] 指针自增运算优先级 (*p++)"
"Study/错题本/02_Memory_Address/2.4 空指针解引用 (NULL Write).md","10_学习/错题本/02_Memory_Address/2.4 空指针解引用 (NULL Write).md","1","181","429","2026/01/24 09:06:30","[2.4] 空指针解引用 (NULL Write)"
"Study/错题本/02_Memory_Address/2.5 字符串初始化越界 (Missing －0).md","10_学习/错题本/02_Memory_Address/2.5 字符串初始化越界 (Missing －0).md","1","189","444","2026/01/24 09:06:30","[2.5] 字符串初始化越界 (Missing \0)"
"Study/错题本/02_Memory_Address/2.6 返回局部变量地址 (野指针).md","10_学习/错题本/02_Memory_Address/2.6 返回局部变量地址 (野指针).md","1","168","401","2026/01/24 09:06:30","[2.6] 返回局部变量地址 (野指针)"
"Study/错题本/02_Memory_Address/2.7 sizeof 指针的误解.md","10_学习/错题本/02_Memory_Address/2.7 sizeof 指针的误解.md","1","170","397","2026/01/24 09:06:30","[2.7] sizeof 指针的误解"
"Study/错题本/02_Memory_Address/2.8 指针优先级的犹豫.md","10_学习/错题本/02_Memory_Address/2.8 指针优先级的犹豫.md","1","328","543","2026/01/24 09:06:30","[2.8] 指针优先级的犹豫"
"Study/错题本/02_Memory_Address/题目 - Q8 结构体传参的“复印件”效应.md","10_学习/错题本/02_Memory_Address/题目 - Q8 结构体传参的“复印件”效应.md","1","576","815","2026/01/24 09:06:30","【题目】Q3 结构体传参的“复印件”效应"
"Study/错题本/02_Memory_Address/题目 - Q9 指针别名引发的数据覆盖.md","10_学习/错题本/02_Memory_Address/题目 - Q9 指针别名引发的数据覆盖.md","1","617","850","2026/01/24 09:06:30","【题目】Q2 指针别名引发的数据覆盖"
"Study/错题本/03_Logic_Control/3.2 Switch Case 逻辑或写法.md","10_学习/错题本/03_Logic_Control/3.2 Switch Case 逻辑或写法.md","1","806","1047","2026/01/24 09:06:30","[3.2] Switch Case 逻辑或写法"
"Study/错题本/03_Logic_Control/3.3 浮点数死循环.md","10_学习/错题本/03_Logic_Control/3.3 浮点数死循环.md","1","500","708","2026/01/24 09:06:30","[3.3] 浮点数死循环"
"Study/错题本/03_Logic_Control/3.4 嵌套 printf 的执行顺序.md","10_学习/错题本/03_Logic_Control/3.4 嵌套 printf 的执行顺序.md","1","269","504","2026/01/24 09:06:30","[3.4] 嵌套 printf 的执行顺序"
"Study/错题本/03_Logic_Control/3.5 短路导致的计数丢失.md","10_学习/错题本/03_Logic_Control/3.5 短路导致的计数丢失.md","1","243","460","2026/01/24 09:06:30","[3.5] 短路导致的计数丢失"
"Study/错题本/03_Logic_Control/3.6 连续自增的未定义行为.md","10_学习/错题本/03_Logic_Control/3.6 连续自增的未定义行为.md","1","255","475","2026/01/24 09:06:30","[3.6] 连续自增的未定义行为"
"Study/错题本/03_Logic_Control/题目 - Q1 永远为真的数学谎言.md","10_学习/错题本/03_Logic_Control/题目 - Q1 永远为真的数学谎言.md","1","556","782","2026/01/24 09:06:30","【题目】Q1 永远为真的数学谎言"
"Study/错题本/03_Logic_Control/题目 - Q10 悬挂 Else (Dangling Else).md","10_学习/错题本/03_Logic_Control/题目 - Q10 悬挂 Else (Dangling Else).md","1","541","812","2026/01/24 09:06:30","【题目】Q10 悬挂 Else (Dangling Else)"
"Study/错题本/03_Logic_Control/题目 - Q11 Do-While 与 Continue.md","10_学习/错题本/03_Logic_Control/题目 - Q11 Do-While 与 Continue.md","1","569","828","2026/01/24 09:06:30","【题目】Q11 Do-While 与 Continue"
"Study/错题本/03_Logic_Control/题目 - Q4 逻辑短路的冷酷规则.md","10_学习/错题本/03_Logic_Control/题目 - Q4 逻辑短路的冷酷规则.md","1","695","921","2026/01/24 09:06:30","【题目】Q4 逻辑短路的冷酷规则"
"Study/错题本/03_Logic_Control/题目 - Q5 Switch 的常量铁律.md","10_学习/错题本/03_Logic_Control/题目 - Q5 Switch 的常量铁律.md","1","552","787","2026/01/24 09:06:30","【题目】Q5 Switch 的常量铁律"
"Study/错题本/03_Logic_Control/题目 - Q9 复杂的循环嵌套计数.md","10_学习/错题本/03_Logic_Control/题目 - Q9 复杂的循环嵌套计数.md","1","808","1034","2026/01/24 09:06:30","【题目】Q9 复杂的循环嵌套计数"
"Study/错题本/04_IO_Buffer/4.1 Scanf 缓冲区残留.md","10_学习/错题本/04_IO_Buffer/4.1 Scanf 缓冲区残留.md","1","148","367","2026/01/24 09:06:30","[4.1] Scanf 缓冲区残留"
"Study/错题本/04_IO_Buffer/4.2 Scanf 遗漏取地址符.md","10_学习/错题本/04_IO_Buffer/4.2 Scanf 遗漏取地址符.md","1","133","355","2026/01/24 09:06:30","[4.2] Scanf 遗漏取地址符"
"Study/错题本/04_IO_Buffer/4.3 double 的输入格式.md","10_学习/错题本/04_IO_Buffer/4.3 double 的输入格式.md","1","155","377","2026/01/24 09:06:30","[4.3] double 的输入格式"
"Study/错题本/04_IO_Buffer/4.4 printf 对齐与补零冲突.md","10_学习/错题本/04_IO_Buffer/4.4 printf 对齐与补零冲突.md","1","268","496","2026/01/24 09:06:30","[4.4] printf 对齐与补零冲突"
"Study/错题本/04_IO_Buffer/4.5 指针地址打印格式.md","10_学习/错题本/04_IO_Buffer/4.5 指针地址打印格式.md","1","369","579","2026/01/24 09:06:30","[4.5] 指针地址打印格式"
"Study/错题本/05_Data_Representation/5.1 整数除法截断.md","10_学习/错题本/05_Data_Representation/5.1 整数除法截断.md","1","117","331","2026/01/24 09:06:30","[5.1] 整数除法截断"
"Study/错题本/05_Data_Representation/5.2 复合赋值隐式括号.md","10_学习/错题本/05_Data_Representation/5.2 复合赋值隐式括号.md","1","144","364","2026/01/24 09:06:30","[5.2] 复合赋值隐式括号"
"Study/错题本/05_Data_Representation/5.3 八进制前缀陷阱.md","10_学习/错题本/05_Data_Representation/5.3 八进制前缀陷阱.md","1","264","494","2026/01/24 09:06:30","[5.3] 八进制前缀陷阱 (Octal Trap)"
"Study/错题本/05_Data_Representation/5.4 Char 类型溢出.md","10_学习/错题本/05_Data_Representation/5.4 Char 类型溢出.md","1","137","360","2026/01/24 09:06:30","[5.4] Char 类型溢出"
"Study/错题本/05_Data_Representation/5.5 浮点打印四舍五入.md","10_学习/错题本/05_Data_Representation/5.5 浮点打印四舍五入.md","1","236","456","2026/01/24 09:06:30","[5.5] 浮点打印四舍五入"
"Study/错题本/05_Data_Representation/5.6 进制混淆与格式化输出.md","10_学习/错题本/05_Data_Representation/5.6 进制混淆与格式化输出.md","1","489","715","2026/01/24 09:06:30","[5.6] 进制混淆与格式化输出"
"Study/错题本/07_好思路与技巧/计算不同位数的技巧.md","10_学习/错题本/07_好思路与技巧/计算不同位数的技巧.md","1","232","419","2026/01/24 09:06:30",""
"Study/错题本/07_好思路与技巧/利用条件缩小范围.md","10_学习/错题本/07_好思路与技巧/利用条件缩小范围.md","1","58","243","2026/01/24 09:06:30",""
"Study/错题本/07_好思路与技巧/最小公倍数与最大公约数的判断.md","10_学习/错题本/07_好思路与技巧/最小公倍数与最大公约数的判断.md","1","217","414","2026/01/24 09:06:30",""
"Study/cs50-week4-memory-notes/00-high-efficiency-study.md","10_学习/cs50-week4-memory-notes/00-high-efficiency-study.md","1","314","567","2026/02/02 13:08:22","0）高效率学习法（照着做，比“抄全笔记”快 3 倍）"
"Study/cs50-week4-memory-notes/01-overview-map.md","10_学习/cs50-week4-memory-notes/01-overview-map.md","1","240","469","2026/02/02 16:39:24","1）总览地图：这节课到底在讲什么（主线）"
"Study/cs50-week4-memory-notes/02-memory-model.md","10_学习/cs50-week4-memory-notes/02-memory-model.md","1","407","633","2026/02/02 15:18:31","2）内存模型（你脑子里要有这张图）"
"Study/cs50-week4-memory-notes/03-pointers-null.md","10_学习/cs50-week4-memory-notes/03-pointers-null.md","1","1369","1600","2026/02/02 15:38:29","3）指针 & NULL（重点：你薄弱点）"
"Study/cs50-week4-memory-notes/04-strings.md","10_学习/cs50-week4-memory-notes/04-strings.md","1","161","380","2026/02/02 16:36:19","4）字符串（C 的 string 本质）"
"Study/cs50-week4-memory-notes/05-malloc-free.md","10_学习/cs50-week4-memory-notes/05-malloc-free.md","7","5965","3779","2026/02/10 11:21:44","5）malloc/free（堆：动态内存） | 5.1 结论（新手必背） | 5.2 最小正确模板（直接抄） | 5.3 最常见致命错误 | 实践清单：阶段 D（内存中的“数据库”，malloc/free：把结构搭起来） | 实践清单：阶段 E（删除与扩容，realloc 的正确姿势） | 实践模板：db.h / db.c（内存 DB + realloc）"
"Study/cs50-week4-memory-notes/06-oob-overflow.md","10_学习/cs50-week4-memory-notes/06-oob-overflow.md","1","736","969","2026/02/03 12:09:06","6）越界 / 溢出（按“对象边界”理解，最清晰）"
"Study/cs50-week4-memory-notes/07-valgrind.md","10_学习/cs50-week4-memory-notes/07-valgrind.md","1","1486","1715","2026/01/24 01:00:30","7）Valgrind（读法 + Windows 怎么用）"
"Study/cs50-week4-memory-notes/08-file-io-fopen.md","10_学习/cs50-week4-memory-notes/08-file-io-fopen.md","1","5668","5935","2026/01/24 00:59:54","8）File I/O：fopen 模式（""r""/""w""/""a""）+ 常见函数怎么用（重点：你薄弱点）"
"Study/cs50-week4-memory-notes/09-file-functions.md","10_学习/cs50-week4-memory-notes/09-file-functions.md","1","5771","6009","2026/01/24 01:00:18","9）常见文件函数：怎么选、怎么用（给小项目直接套）"
"Study/cs50-week4-memory-notes/10-mini-project-plan.md","10_学习/cs50-week4-memory-notes/10-mini-project-plan.md","9","18565","6250","2026/01/24 01:02:19","10）写小项目的最小落地方案（推荐：通讯录/日志） | 10.1 需求：追加保存 + 下次读取 | 10.2 最常见的“项目级坑” | 10.3 你接下来要做的第一步（现在就能开始） | 10.4 可选分支（如果你更想做别的项目） | 10.5 实践模板：一键生成 phonebook-pro 工程骨架（WSL2） | 10.5 实践模板：一键生成 phonebook-pro 工程骨架（WSL2） | 10.5 实践模板：一键生成 phonebook-pro 工程骨架（WSL2） | 10.5 实践模板：一键生成 phonebook-pro 工程骨架（WSL2）"
"Study/cs50-week4-memory-notes/11-preflight-checklist.md","10_学习/cs50-week4-memory-notes/11-preflight-checklist.md","1","618","867","2026/01/24 00:52:09","11）强制自检清单（写代码前扫一遍，极大降低出错率）"
"Study/cs50-week4-memory-notes/12-quiz.md","10_学习/cs50-week4-memory-notes/12-quiz.md","1","199","412","2026/01/24 00:35:37","12）自测题（10 分钟内能秒答=掌握）"
"Study/cs50-week4-memory-notes/13-personal-todos.md","10_学习/cs50-week4-memory-notes/13-personal-todos.md","1","124","361","2026/01/24 00:35:45","13）TODO：你的个人化补充（只写你最弱的点）"
"Study/cs50-week4-memory-notes/README.md","10_学习/cs50-week4-memory-notes/README.md","1","219","474","2026/01/24 00:31:56","CS50 Week 4：Memory / Pointers / Valgrind / File I/O（高效率笔记·可直接复制）"
"Study/English/Complex Sentence.md","10_学习/English/Complex Sentence.md","2","7099","3972","2026/02/04 11:33:50","1) | 1)"
"Study/English/Word.md","10_学习/English/Word.md","1","556","731","2026/02/04 14:31:55","Word"
"20_Labs/PSIM/📋 三分钟排错剧本.md","20_Labs/PSIM/📋 三分钟排错剧本.md","1","2909","3114","2026/02/10 10:01:02","Step 0（30s）：打开强制观测窗（同屏）"
"20_Labs/PSIM/SITO-3out-Buck-闭环复现-复盘.md.md","20_Labs/PSIM/SITO-3out-Buck-闭环复现-复盘.md.md","37","9534","1883","2026/02/10 11:02:35","SITO 单电感三输出 Buck｜三路闭环跑稳复盘 | ⚡ 30 秒快速结论 | 核心成果 | 最大的两个坑（必须记住） | 排错优先级口诀 | 📊 实验目标与验收标准 | 目标 | 验收标准清单 | 📈 结果数据 | 📚 系统工程讲解 | 系统结构与信号链路 | 功率级（Power Stage） | 关键同步条件 | 理解: | PWM 生成原理与 PI 控制逻辑 | 1. 系统控制流 (Signal Flow) | 2. 物理模型：比较器逻辑 | 代码实现 (C语言结构体与算法) | 核心原因 A：抗积分饱和 (Anti-Windup) —— 决定响应速度 | 核心原因 B：系统安全与兼容性 | 极简逻辑总结 | 3. 控制链路讲解（PWM / 闭环 / 开环） | PWM 的本质 | 开环 vs 闭环 | 控制链路的脆弱点 | ⚠️ 致命坑表（现象 → 根因 → 验证 → 修复） | 这次我问的 5 个问题 & 结论（老师式） | Q1. Vdc 是“整个电路的电压”吗？Vdc+/Vdc- 是电源两端电压吗？ | Q2. Vbs 是什么？我没看懂 | Q3. MOSFET 三端：Gate/Source/还有一端？Source 是输出端吗？ | Q4. Vfb 就是采样器采样到的电压吗？ | 名词速查表（记忆用） | PSIM 单电感三输出：软启动与排错复盘 | 这次遇到的真实坑 | 软启动（Soft-start）你做对了什么 | 为什么仍然会看到超调/欠调（尤其是多输出） | 如果老师突然要更“工程”的启动波形（最小改动）"
"string","string","1","6","6","",""
